Env,Size,Reward type,Game id,Final reward,Num edges,t* index,density,avg_degree,max_degree,avg_clustering,num_components,avg_shortest_path
Global,12,central,48,2.842170943040401e-14,51,6,0.7727272727272727,8.5,11,0.8764850889850889,1,1.2272727272727273
Global,12,central,49,-1.4210854715202004e-14,52,7,0.7878787878787878,8.666666666666666,11,0.8892255892255893,1,1.2121212121212122
Global,13,complete,0,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,1,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,2,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,3,0.0,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,4,-0.023520663648213258,59,6,0.7564102564102564,9.076923076923077,12,0.8664335664335664,1,1.2435897435897436
Global,13,complete,5,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,6,-0.48191988025124033,62,7,0.7948717948717948,9.538461538461538,12,0.8746420246420248,1,1.205128205128205
Global,13,complete,7,1.4210854715202004e-14,64,7,0.8205128205128205,9.846153846153847,12,0.8857808857808857,1,1.1794871794871795
Global,13,complete,8,-1.4210854715202004e-14,61,6,0.782051282051282,9.384615384615385,12,0.8729603729603729,1,1.2179487179487178
Global,13,complete,9,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,10,-0.014824402234353329,60,6,0.7692307692307693,9.23076923076923,12,0.8685314685314687,1,1.2307692307692308
Global,13,complete,11,0.0,60,6,0.7692307692307693,9.23076923076923,12,0.8741258741258741,1,1.2307692307692308
Global,13,complete,12,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,13,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,14,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,15,-1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258743,1,1.205128205128205
Global,13,complete,16,1.4210854715202004e-14,62,6,0.7948717948717948,9.538461538461538,12,0.8741258741258741,1,1.205128205128205
Global,13,complete,17,1.4210854715202004e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8825174825174825,1,1.1923076923076923
Global,13,complete,18,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,19,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,20,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,21,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,22,-0.009295215085430186,61,6,0.782051282051282,9.384615384615385,12,0.8701631701631702,1,1.2179487179487178
Global,13,complete,23,1.4210854715202004e-14,63,7,0.8076923076923077,9.692307692307692,12,0.8825174825174825,1,1.1923076923076923
Global,13,complete,24,0.0,63,6,0.8076923076923077,9.692307692307692,12,0.8776223776223777,1,1.1923076923076923
Global,13,complete,25,-0.9138698023484579,63,7,0.8076923076923077,9.692307692307692,12,0.8838106338106338,1,1.1923076923076923
